,Kingdom,Phylum,Class,Order,Family,Genus,SRR21231019,SRR21231020,SRR21231021,SRR21231022,SRR21231023,SRR21231024,SRR21231025,SRR21231026,SRR21231027,SRR21231028,SRR21231029,SRR21231030
13,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,,0,0,0,0,154,0,179,0,0,0,0,0
34,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,,0,0,0,0,0,81,0,0,0,0,70,0
61,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,8,13,16,0,0,1,0,0,0,0,6,0
62,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,10,8,0,0,0,14,0,0,0,0,7,0
63,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,13,9,11,18,0,4,0,27,0,23,10,0
66,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,14,14,0,23,0,0,0,0,0,32,4,0
83,Bacteria,Chloroflexi,Ktedonobacteria,C0119,,,0,77,0,0,0,88,0,0,0,0,0,0
100,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,16,8,5,0,0,11,0,0,0,0,8,0
101,Bacteria,Firmicutes,Bacilli,Bacillales,,,12,13,11,0,0,6,0,68,29,0,0,0
102,Bacteria,Firmicutes,Bacilli,Bacillales,,,16,6,8,0,0,9,0,0,0,4,0,0
103,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,8,10,7,0,0,8,0,0,0,18,0,159
115,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,6,2,0,0,0,0,0,0,21,0,0,0
120,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,3,7,0,0,0,7,0,0,0,0,0,0
121,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,3,2,0,0,0,10,0,0,0,25,0,0
122,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,24,32,0,0,0,0,0,0,0,0,0,0
124,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,7,6,4,0,0,4,0,0,0,0,0,0
125,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,6,2,11,0,0,7,0,0,0,0,0,0
126,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,7,4,6,0,0,6,0,0,0,0,0,0
127,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,5,6,9,0,0,5,0,0,0,0,0,0
128,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,5,5,11,0,0,5,0,0,0,0,0,0
129,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,9,4,4,0,0,7,0,0,37,0,0,0
130,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,6,5,3,0,0,7,0,0,0,72,0,0
131,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,7,3,0,0,0,5,0,0,0,0,0,0
132,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,4,10,6,0,0,6,0,0,0,0,0,0
147,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,0,0,0,0,0,0,0,0,0,0,14,86
152,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Fictibacillus,23,0,0,0,0,17,0,0,0,0,0,0
192,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,15,7,9,0,0,17,0,0,0,0,0,0
204,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,,0,0,0,0,78,0,0,0,0,0,76,0
206,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,39,31,0,0,0,71,41,0,0,0,0,0
214,Bacteria,Chloroflexi,KD4-96,,,,8,24,0,0,339,8,81,0,0,0,0,0
303,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,48,7,5,14,13,24,0,0,0,72,19,8
304,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,33,1,3,2,3,45,0,0,0,0,28,66
305,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,35,8,8,9,0,29,0,0,92,0,8,20
325,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,29,14,2,10,8,30,0,0,0,0,19,18
326,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,32,11,2,6,1,26,19,0,0,0,7,15
327,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,44,9,10,18,0,32,0,0,0,0,13,30
328,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,28,6,2,2,14,26,0,21,0,0,21,24
333,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,,13,0,17,0,0,0,0,0,0,0,0,0
382,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,9,10,0,0,0,9,0,0,0,0,0,36
383,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,4,10,0,0,0,4,0,0,0,0,43,40
384,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,15,1,0,0,0,6,0,0,0,66,0,0
397,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,0,10,0,71,0,0,0,0,0,0,0,0
399,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,0,6,0,0,0,0,0,0,0,0,9,0
400,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,0,6,0,0,0,0,0,0,0,0,8,0
433,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,0,0,15,0,0,5,0,71,54,0,0,0
434,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,11,0,0,0,0,14,0,0,0,63,21,0
442,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,0,13,0,142,0,87,0,0,0,0,0,0
470,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,0,0,13,0,0,9,0,0,0,0,0,0
471,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,0,0,9,0,0,8,0,0,0,0,0,0
544,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,,0,63,0,0,0,27,0,0,0,0,0,0
764,Bacteria,Actinobacteriota,MB-A2-108,,,,0,13,0,0,0,0,0,0,0,0,13,0
872,Bacteria,Firmicutes,Bacilli,Bacillales,,,9,25,5,0,0,6,0,0,29,0,0,0
877,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,8,5,0,0,0,8,0,0,0,0,0,0
878,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,6,2,0,0,0,8,0,0,0,0,0,0
882,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,4,0,4,0,0,4,0,0,0,0,0,0
883,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,4,0,0,0,0,4,0,0,0,0,0,0
884,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,7,3,5,0,0,6,0,0,0,0,0,0
885,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,2,0,0,0,0,3,0,0,0,0,0,0
959,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,0,6,12,0,0,0,0,30,0,0,0,0
973,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,,56,0,0,0,0,0,0,0,32,0,0,0
1011,Bacteria,Chloroflexi,KD4-96,,,,19,2,0,0,0,2,0,0,0,108,0,0
1066,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,,36,3,2,2,2,35,0,0,0,0,17,48
1071,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,0,14,0,0,0,0,0,0,0,0,16,0
1076,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,38,19,6,13,1,40,0,0,0,0,11,2
1077,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,32,4,5,13,1,16,0,0,0,0,18,8
1078,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,5,5,0,0,0,2,0,0,0,0,7,6
1119,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,9,9,4,0,0,17,0,0,66,0,0,0
1127,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,43,8,0,0,0,0,0,0,0,0,0,0
1137,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,,,4,3,0,0,0,18,0,0,0,38,0,0
1150,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,6,33,11,0,157,13,0,0,0,0,0,0
1403,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,6,0,0,0,0,7,0,0,0,0,0,0
1416,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,,0,0,0,0,0,0,0,0,0,0,7,30
1531,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,11,10,11,14,0,10,0,0,0,18,7,0
1532,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,17,12,0,16,0,0,0,0,0,25,4,0
1551,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,12,14,10,0,0,10,0,0,0,0,16,0
1552,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,6,18,11,0,0,8,0,0,0,18,0,0
1553,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,19,13,12,0,0,12,0,63,32,0,0,0
1554,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,7,14,4,0,0,11,0,0,0,16,0,0
1559,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,22,32,0,0,0,0,0,0,0,0,0,0
1561,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,9,5,3,0,0,5,0,0,39,0,0,0
1562,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,7,10,0,0,0,2,0,0,0,0,0,0
1689,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,43,7,3,18,0,40,0,0,0,0,12,3
1690,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,45,1,4,1,0,29,0,0,0,0,11,52
1692,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,,8,0,0,1,0,8,0,0,0,0,0,0
1698,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,0,20,0,0,0,0,0,0,0,0,28,0
1735,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,9,3,4,76,0,12,0,0,57,0,0,0
1736,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,6,8,1,0,0,9,0,0,0,0,0,24
1738,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,5,5,2,0,0,15,0,0,0,53,0,0
1744,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,0,10,0,0,0,0,0,0,0,0,11,0
1766,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,0,12,0,0,0,38,0,0,0,0,0,0
2032,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,,0,0,0,0,0,0,23,72,0,0,46,0
2050,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,,0,0,0,0,31,0,0,0,0,0,66,0
2054,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,0,6,11,0,0,0,0,0,0,0,2,0
2061,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,3,9,10,0,0,6,0,0,0,0,0,0
2109,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,7,5,3,0,0,7,0,0,0,0,0,0
2141,Bacteria,Chloroflexi,KD4-96,,,,13,15,0,0,0,14,0,0,0,0,0,0
2179,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,16,1,0,0,2,0,0,0,0,15,37
2296,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,,56,0,0,0,0,90,0,0,0,0,0,0
2297,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,,25,0,0,0,0,49,0,0,0,0,0,0
2304,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,,37,0,0,0,0,0,0,0,0,0,36,0
2379,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,,42,0,0,0,0,34,0,0,0,0,0,0
2432,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,16,16,24,0,0,9,0,0,0,0,11,0
2433,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,0,13,0,0,0,6,0,0,50,0,17,0
2434,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,17,12,6,23,0,14,0,68,0,27,14,0
2436,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,0,6,0,0,0,35,0,0,0,0,28,0
2437,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,25,16,0,29,0,0,0,0,0,44,6,0
2465,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,,0,0,0,0,79,0,0,0,0,0,88,0
2487,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,,66,0,0,0,0,0,0,0,0,0,35,0
2508,Bacteria,Firmicutes,Bacilli,Bacillales,,,21,24,15,0,0,8,0,0,0,0,43,0
2509,Bacteria,Firmicutes,Bacilli,Bacillales,,,19,19,16,0,0,10,70,0,0,9,0,0
2510,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,28,25,13,0,0,17,0,0,0,32,0,0
2511,Bacteria,Firmicutes,Bacilli,Bacillales,,,25,20,10,0,0,15,0,131,30,0,0,0
2512,Bacteria,Firmicutes,Bacilli,Bacillales,,,7,3,13,0,0,8,0,0,27,0,0,0
2513,Bacteria,Firmicutes,Bacilli,Bacillales,,,10,18,14,0,0,16,0,0,0,17,0,0
2539,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,6,14,5,0,0,0,0,0,0,0,13,0
2540,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,9,10,5,0,0,0,0,0,0,5,0,0
2541,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,12,6,4,0,0,0,0,0,0,0,0,0
2542,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,9,18,3,0,0,0,0,0,0,34,0,0
2543,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,9,14,4,0,0,0,0,0,70,0,0,0
2544,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,4,12,1,0,0,0,0,0,65,0,0,0
2546,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,32,48,0,0,0,0,0,0,0,43,0,0
2549,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,0,10,0,0,7,0,0,0,0,0,0
2550,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,0,10,0,0,6,0,0,0,49,0,0
2551,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,0,13,0,0,10,0,0,0,0,0,0
2552,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,0,14,0,0,9,0,0,0,36,0,0
2554,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,7,7,3,0,0,8,0,0,0,0,28,0
2555,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,8,5,2,0,0,8,0,0,61,0,0,0
2556,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,12,8,4,0,0,4,0,0,0,53,0,0
2557,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,9,18,3,0,0,2,0,0,0,0,29,0
2558,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,10,11,10,0,0,2,83,0,0,0,30,0
2559,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,6,6,15,0,0,5,0,67,0,0,0,0
2560,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,4,7,18,0,0,9,0,0,0,0,0,0
2561,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,11,5,6,0,0,7,0,0,53,0,0,0
2563,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,7,4,7,0,0,6,0,0,0,0,49,0
2568,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,76,0,0,0,0,60,0,0,0,0,0,0
2574,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,162,0,0,0,21,0,0,0,0,0,17,0
2578,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,0,0,0,23,0,0,0,0,0,19,0
2590,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Fictibacillus,25,0,0,0,0,22,0,0,0,0,0,0
2694,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,17,0,0,0,0,0,0,55,0,0,0,0
2721,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,13,8,17,0,0,11,0,0,19,0,0,0
2722,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,23,9,13,0,0,20,0,0,25,0,0,0
2723,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,0,6,12,99,0,8,0,0,0,157,0,0
2724,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,12,6,11,0,0,4,0,0,36,0,0,0
